# Logfile created on 2017-04-24 18:08:11 +0000 by logger.rb/56438
[2017-04-24T18:08:11+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2017-04-24T18:08:11+00:00] INFO: Forking chef instance to converge...
[2017-04-24T18:08:11+00:00] INFO: *** Chef 12.12.15 ***
[2017-04-24T18:08:11+00:00] INFO: Platform: x86_64-linux
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/omnibus_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/matchers.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/definitions/env_dir.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql-init.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/mattermost_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/pg_hba.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/prometheus.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/registry-config.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/certificate_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/aws.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/relative_url.rb.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/version_helper.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/pg_ident.conf.erb in the cache.
